PMID,Title,Publication Date
38770130,A Descriptive Analysis of Capsule Endoscopy Events in the FDA Manufacturer and User Facility Device Experience (MAUDE) Database.,"Jun, 2021"
34160875,"Response to: ""Adverse Events and Complications Associated With Intrathecal Drug Delivery Systems: Insights From the Manufacturer and User Facility Device Experience (MAUDE) Database"".","Jun, 2021"
34160872,"Response to Letter to the Editor Regarding: ""Adverse Events and Complications Associated With Intrathecal Drug Delivery Systems: Insights From the Manufacturer and User Facility Device Experience (MAUDE) Database"".","Jun, 2021"
34151665,Complications associated with deep brain stimulation for Parkinson's disease: a MAUDE study.,"Jun, 2021"
34134943,Device failures associated with gastric pacemakers: A MAUDE database analysis.,"Jun, 2021"
34117494,Evolution of a novel technology for gastroesophageal reflux disease: a safety perspective of magnetic sphincter augmentation.,"Jun, 2021"
34116792,MAUDE Database Analysis of Post-Approval Outcomes following Left Atrial Appendage Closure with the Watchman Device.,"Jun, 2021"
34091322,Adverse events following injection laryngoplasty: An analysis of the MAUDE database.,"Jun, 2021"
34166443,Robotic stapler use: Is it safe?-FDA database analysis across multiple surgical specialties.,"Jun, 2021"
34052127,Complications and Failure Modes of Covered Coronary Stents: Insights From the MAUDE Database.,"May, 2021"
33971189,Post-Surgical Complications After Bladder Outlet Reducing Surgery: An Analysis of The FDA Manufacturer and User Facility Device Experience (MAUDE) Database.,"May, 2021"
33964252,Location of Superior Vena Cava Tears in Transvenous Lead Extraction.,"May, 2021"
33958304,Complications and Failure Modes of Polymer-Jacketed Guidewires; Insights From the MAUDE Database.,"May, 2021"
33957719,Adverse Events Associated With Synthetic Male Slings: An Analysis of the Food and Drug Administration Manufacturer and User Facility Device Experience Database.,"May, 2021"
33951709,Negative Pressure Wound Therapy Devices With Instillation/Irrigation: A Technologic Analysis.,"May, 2021"
33951708,Single-Use Negative Pressure Wound Therapy Devices: A Technologic Analysis.,"May, 2021"
33932271,The transseptal puncture experience: Safety insights from FDA MAUDE database.,"May, 2021"
33876860,Complications and failure modes of coronary embolic protection devices: Insights from the MAUDE database.,"Apr, 2021"
33866770,Real world adverse events of interspinous spacers using Manufacturer and User Facility Device Experience data.,"Apr, 2021"
33848437,Adverse Events Associated With Corticosteroid-Eluting Sinus Stents: A MAUDE Database Analysis.,"Apr, 2021"
33722540,Complications and Failure Modes of Stingray LP Balloon: Insights From the MAUDE Database.,"Mar, 2021"
33745689,"Revealing the scope of surgical device malfunctions: Analysis of the ""hidden"" Food and Drug Administration device database.","Mar, 2021"
33766405,Is fluoride varnish safe?: Validating the safety of fluoride varnish.,"Mar, 2021"
33713856,Major adverse clinical events associated with implantation of a leadless intracardiac pacemaker.,"Mar, 2021"
33687626,Real-World Experience of Intragastric Balloons for Obesity: Insights from the FDA Manufacturer and User Facility Device Experience (MAUDE) Database.,"Mar, 2021"
33676070,Adverse events associated with Bonebridge and Osia bone conduction implant devices.,"Mar, 2021"
33662743,Deep brain stimulation and electromagnetic interference.,"Mar, 2021"
33625154,Barriers to Reporting: Limitations of the Maude Database.,"Feb, 2021"
33612411,Complications of the MANTA Closure Device: Insights From MAUDE Database.,"Feb, 2021"
33600931,A systematic review of the quality of cardiovascular surgery studies that extracted data from the MAUDE database.,"Feb, 2021"
33600834,Endovascular Stapler Complications During Minimally Invasive Nephrectomy: An Updated Review of the FDA MAUDE Database From 2009-2019.,"Feb, 2021"
33575857,Adverse events related to total ankle replacement devices: an analysis of reports to the United States Food and Drug Administration.,"Feb, 2021"
33539651,Real-world experience of suture-based closure devices: Insights from the FDA Manufacturer and User Facility Device Experience.,"Feb, 2021"
33528303,Adverse Events Associated With ClariFix Posterior Nasal Nerve Cryoablation: A MAUDE Database Analysis.,"Feb, 2021"
33484416,Adverse event reporting in head and neck transoral robotic surgery: a MAUDE database study.,"Jan, 2021"
33421640,Adverse Events Associated with Microinvasive Glaucoma Surgery Reported to the Food and Drug Administration.,"Jan, 2021"
33419675,Adverse Events Related to Excimer Laser Coronary Atherectomy: Analysis of the FDA MAUDE Database.,"Jan, 2021"
33402323,Real-World Experience of the MANTA Closure Device: Insights From the FDA Manufacturer and User Facility Device Experience (MAUDE) Database.,"Jan, 2021"
33380842,"Characterization of Device-Related Malfunction, Injury, and Death Associated with Using Elastomeric Pumps for Delivery of Local Anesthetics in the US Food and Drug Administration MAUDE Database.","Jan, 2021"
33306248,Adverse Events and Complications Associated With Intrathecal Drug Delivery Systems: Insights From the Manufacturer and User Facility Device Experience (MAUDE) Database.,"Dec, 2020"
33220495,Complications associated with PlasmaBlade TnA during tonsillectomy and adenoidectomy from 2010 to 2020: A MAUDE study.,"Nov, 2020"
33147430,Analysis of Adverse Events Related to Impella Usage (from the Manufacturer and User Facility Device Experience and National Inpatient Sample Databases).,"Nov, 2020"
33071196,Adverse Events and Modes of Failure Related to Rotational Atherectomy System: The Utility of the MAUDE Database.,"Oct, 2020"
33003133,Vaginal energy-based devices: characterization of adverse events based on the last decade of MAUDE safety reports.,"Oct, 2020"
32916305,Creating a database for health IT events via a hybrid deep learning model.,"Sep, 2020"
32957866,Adverse Events in Hypoglossal Nerve Stimulator Implantation: 5-Year Analysis of the FDA MAUDE Database.,"Sep, 2020"
32942309,Adverse Events Associated with Implantable Dopplers during Microvascular Surgery.,"Sep, 2020"
32917485,The healthcare burden and associated adverse events from total alloplastic temporomandibular joint replacement: a national United States perspective.,"Sep, 2020"
32966907,A cross-sectional analysis of 1347 complications for cervical disc replacements from medical device reports maintained by the United States Food and Drug Administration.,"Sep, 2020"
32910629,Questioning the Use of the Manufacturer and User Facility Device Experience Database (MAUDE) to Compare Implant Performance.,"Sep, 2020"
32900228,More Focus is Needed to Reduce Adverse Events for Diabetes Devices.,"Sep, 2020"
32880188,An Analysis of 2019 FDA Adverse Events for Two Insulin Pumps and Two Continuous Glucose Monitors.,"Sep, 2020"
32804270,Electromagnetic interference on cardiac pacemakers and implantable cardioverter defibrillators during endoscopy as reported to the US Federal Drug Administration.,"Aug, 2020"
32796292,Vaginal laser treatment of genitourinary syndrome of menopause: does the evidence support the FDA safety communication?,"Aug, 2020"
32737269,Adverse Events After Left Atrial Appendage Closure: Lessons Learned From the Manufacturer and User Facility Device Experience (MAUDE) Database.,"Aug, 2020"
32723089,Adverse Events Related to Cartiva Hemiarthroplasty of First Metatarsal: An Analysis of Reports to the United States Food and Drug Administration.,"Jul, 2020"
32711236,Complications associated with tracheoesophageal voice prostheses from 2010 to 2020: A MAUDE study.,"Jul, 2020"
32660346,Adverse Events Associated With Laser Use in the Upper Airway.,"Jul, 2020"
32645535,Adverse events associated with the Inspire implantable hypoglossal nerve stimulator: A MAUDE database review.,"Jul, 2020"
32569070,Comparison of Early Fatigue Failure of the TFNa and Gamma 3 Cephalomedullary Nails in the United States From 2015 to 2019.,"Jun, 2020"
32558941,A Manufacturer and User Facility Device Experience Analysis of Upper Aerodigestive Endoscopy Contamination: Is Flexible Laryngoscopy Different?,"Jun, 2020"
32537301,Death by Implants: Critical Analysis of the FDA-MAUDE Database on Breast Implant-related Mortality.,"Jun, 2020"
32505511,Adverse events involving hallux metatarsophalangeal joint implants: Analysis of the United States Food and Drug Administration data from 2010 to 2018.,"Jun, 2020"
32493396,MAUDE: inferring expression changes in sorting-based CRISPR screens.,"Jun, 2020"
32442013,Analysis: Using the FDA MAUDE and Medical Device Recall Databases to Design Better Devices.,"May, 2020"
32423363,Adverse Events Associated with Absorbable Implants for the Nasal Valve: A Review of the Manufacturer and User Facility Device Experience Database.,"May, 2020"
32405892,SAGES TAVAC safety and efficacy analysis confocal laser endomicroscopy.,"May, 2020"
32405561,Device-Related Complications Associated with Magec Rod Usage for Distraction-Based Correction of Scoliosis.,"May, 2020"
32385798,Patient injuries and malfunctions associated with robotic prostatectomy: review of the manufacturer and user facility device experience database.,"May, 2020"
32383635,Analysis of 408 Total Ankle Arthroplasty Adverse Events Reported to the US Food and Drug Administration From 2015 to 2018.,"May, 2020"
32339729,Classifying Device-Related Complications Associated With Intrathecal Baclofen Pumps: A MAUDE Study.,"Apr, 2020"
32282600,Temporal Trends of Urogynecologic Mesh Reports to the U.S. Food and Drug Administration.,"Apr, 2020"
32269176,The First 4 Years of Postmarketing Safety Surveillance Related to the MitraClip Device: A United States Food and Drug Administration MAUDE Experience.,"Apr, 2020"
32128913,Descriptive analysis of postmarket surveillance data for hip implants.,"Mar, 2020"
32217931,Wheelchair Mobility-Related Injuries Due to Inadvertent Lower Extremity Displacement on Footplates: Analysis of the FDA MAUDE Database From 2014 to 2018.,"Mar, 2020"
32128936,Medical device active surveillance of spontaneous reports: A literature review of signal detection methods.,"Mar, 2020"
32077767,"Response to: Babayan, Steinberg, and Miller RE: Aminsharifi et al., Major Complications and Adverse Events Related to the Injection of the SpaceOAR Hydrogel System Before Radiotherapy for Prostate Cancer: Review of the Manufacturer and User Facility Device Experience Database (From: Babayan RK, Steinberg ML, and Miller LE, J Endourol 2020;34:240-241; DOI: 10.1089/end.2019.0742).","Feb, 2020"
31982244,Early Polyethylene Failure in a Modern Total Hip Prosthesis: A Note of Caution.,"Jan, 2020"
31914809,"Re: Aminsharifi et al., Major Complications and Adverse Events Related to the Injection of the SpaceOAR Hydrogel System Before Radiotherapy for Prostate Cancer: Review of the Manufacturer and User Facility Device Experience Database (From: Aminsharifi A, Kotamarti S, Silver D, et al., J Endourol 2019;33:868-871; DOI: 10.1089/end.2019.0431).","Jan, 2020"
31991097,A 20-Year Analysis of Adverse Events and Litigation With Light-Based Skin Resurfacing Procedures.,"Jan, 2020"
31842798,Unrecognized maternal heart rate artefact in cases of perinatal mortality reported to the United States Food and Drug Administration from 2009 to 2019: a critical patient safety issue.,"Dec, 2019"
31814779,Thoracic Endovascular Aortic Repair Adverse Events Reported In The Food And Drug Administration Manufacturer And User Facility Device Experience Database.,"Dec, 2019"
31860011,Outcomes Before and After the Recall of a Heart Failure Pacemaker.,"Dec, 2019"
31853803,High shocking and pacing impedances due to defibrillation lead calcification.,"Dec, 2019"
31767523,Analysis of the Food and Drug Administration Manufacturer and User Facility Device Experience Database for Patient- and Circuit-Related Adverse Events Involving Extracorporeal Membrane Oxygenation.,"Nov, 2019"
31732316,Complications of Palatal Pillar Implants: An analysis of the MAUDE database and literature review.,"Nov, 2019"
31780421,Real-World Experience of the Sentinel Cerebral Protection Device: Insights From the FDA Manufacturer and User Facility Device Experience (MAUDE) Database.,"Nov, 2019"
31592917,Analysis of U.S. Food and Drug Administration Data on Soft-Tissue Filler Complications.,"Oct, 2019"
31589249,Miscategorization of Deaths in the US Food and Drug Administration Adverse Events Database.,"Oct, 2019"
31638866,Adverse Events Associated with Balloon Sinuplasty: A MAUDE Database Analysis.,"Oct, 2019"
31545350,Reported mortality with rotating sheaths vs. laser sheaths for transvenous lead extraction.,"Sep, 2019"
31493376,Complications and Litigation Associated With Injectable Facial Fillers: A Cross-Sectional Study.,"Sep, 2019"
31561032,Complications involving the subcutaneous implantable cardioverter-defibrillator: Lessons learned from MAUDE.,"Sep, 2019"
31422928,Adverse events with orbital atherectomy: an analytic review of the MAUDE database.,"Aug, 2019"
31419320,MRI-related FDA adverse event reports: A 10-yr review.,"Aug, 2019"
31452385,Major Complications and Adverse Events Related to the Injection of the SpaceOAR Hydrogel System Before Radiotherapy for Prostate Cancer: Review of the Manufacturer and User Facility Device Experience Database.,"Aug, 2019"
31449789,Valuing innovative endoscopic techniques: endoscopic suturing to prevent stent migration for benign esophageal disease.,"Aug, 2019"
31438051,Generating a Health Information Technology Event Database from FDA MAUDE Reports.,"Aug, 2019"
31324419,"Menstrual cup use, leakage, acceptability, safety, and availability: a systematic review and meta-analysis.","Jul, 2019"
31308772,Reporter's occupation and source of adverse device event reports contained in the FDA's MAUDE database.,"Jul, 2019"
31327243,Analysis of a Point-of-Care HbA1c Assay: Is It Time for an HbA1c Error Grid?,"Jul, 2019"
31186971,New Onset Tinnitus after High-Frequency Spinal Cord Stimulator Implantation.,"Jun, 2019"
31183792,Small bowel obstructions following the use of barbed suture: a review of the literature and analysis of the MAUDE database.,"Jun, 2019"
31189203,Building Usability Knowledge for Health Information Technology: A Usability-Oriented Analysis of Incident Reports.,"Jun, 2019"
31064212,Getting More Information From Glucose Meter Evaluations.,"May, 2019"
31037961,Robotic Urologic Surgery: Trends in Food and Drug Administration-Reported Adverse Events Over the Last Decade.,"May, 2019"
31123652,United States Food and Drug Administration's 510(k) Pathway: Drawing Implications from the Approvals of Brachytherapy Devices.,"May, 2019"
31088719,"Letter by Bilazarian et al. regarding the article, ""Adverse events and modes of failure related to Impella RP: Insights from the Manufacturer and User Facility Device Experience (MAUDE) database"" by Khalid et al.","May, 2019"
31088147,Hemopericardium and Cardiac Tamponade as a Complication of Vena Caval Filters: Systematic Review of the Published Literature and the MAUDE Database.,"May, 2019"
31079818,Adverse Events Associated with the Use of Guide Extension Catheters during Percutaneous Coronary Intervention: Reports from the Manufacturer and User Facility Device Experience (MAUDE) database.,"May, 2019"
30985082,Adverse events and modes of failure related to the FilterWire EZ Embolic Protection System: Lessons learned from an analytic review of the FDA MAUDE database.,"Apr, 2019"
30991897,Safety of EndoAnchors in real-world use: A report from the Manufacturer and User Facility Device Experience database.,"Apr, 2019"
30990073,Device Malfunctions and Complications Associated with Benign Prostatic Hyperplasia Surgery: Review of the Manufacturer and User Facility Device Experience Database.,"Apr, 2019"
30962083,Techniques to Optimize the Use of Optical Coherence Tomography: Insights from the Manufacturer and User Facility Device Experience (MAUDE) Database.,"Apr, 2019"
30924953,Lasers and energy-based devices marketed for vaginal rejuvenation: A cross-sectional analysis of the MAUDE database.,"Mar, 2019"
30922871,Adverse Events and Modes of Failure Related to Impella RP: Insights from the Manufacturer and User Facility Device Experience (MAUDE) Database.,"Mar, 2019"
30841006,Understanding Health Information Technology Induced Medication Safety Events by Two Conceptual Frameworks.,"Mar, 2019"
30803939,Adverse events and modes of failure related to the Impella percutaneous left ventricular assist devices: a retrospective analysis of the MAUDE database.,"Feb, 2019"
30799667,Powered muscle stimulators: an investigation into newly FDA 510(k) approved devices marketed for muscle toning and esthetic benefit.,"Feb, 2019"
30772531,Internal insulation breaches in an implantable cardioverter-defibrillator lead with redundant conductors.,"Feb, 2019"
30640660,Retrospective analysis of complications associated with dorsal root ganglion stimulation for pain relief in the FDA MAUDE database.,"Jan, 2019"
30617505,Robotic sacrocolpopexy: adverse events reported to the FDA over the last decade.,"Jan, 2019"
30614316,A review of the FDA's 510(k) approvals process for electromagnetic devices used in body contouring.,"Jan, 2019"
30580582,Reducing Glucose Meter Adverse Events by Using Reliability Growth With the FDA MAUDE Database.,"Dec, 2018"
30466818,Timely recognition of total elbow and radial head arthroplasty adverse events: an analysis of reports to the US Food and Drug Administration.,"Nov, 2018"
30402576,Biliary and pancreatic lithotripsy devices.,"Nov, 2018"
30387234,Guidewire fracture during orbital atherectomy for peripheral artery disease: Insights from the Manufacturer and User Facility Device Experience database.,"Nov, 2018"
30328716,Why the Details of Glucose Meter Evaluations Matters.,"Oct, 2018"
30308590,An Analysis of the FDA MAUDE Database and the Search for Cobalt Toxicity in Class 3 Johnson & Johnson/DePuy Metal-on-Metal Hip Implants.,"Oct, 2018"
31984352,Toward safer health care: a review strategy of FDA medical device adverse event database to identify and categorize health information technology related events.,"Oct, 2018"
30016750,Analysis of Reported Adverse Events with Uterine Artery Embolization for Leiomyomas.,"Jul, 2018"
29922850,Safety of orogastric tubes in foregut and bariatric surgery.,"Jun, 2018"
29857426,Exploring Health Information Technology Events from FDA MAUDE Database.,"Jun, 2018"
29854170,Initializing and Growing a Database of Health Information Technology (HIT) Events by Using TF-IDF and Biterm Topic Modeling.,"Jun, 2018"
29930960,"A Primer to the Structure, Content and Linkage of the FDA's Manufacturer and User Facility Device Experience (MAUDE) Files.","Jun, 2018"
29759905,Analysis of 4063 complications of shoulder arthroplasty reported to the US Food and Drug Administration from 2012 to 2016.,"May, 2018"
29653650,Comparison of adverse event and device problem rates for transcatheter aortic valve replacement and Mitraclip procedures as reported by the Transcatheter Valve Therapy Registry and the Food and Drug Administration postmarket surveillance data.,"Apr, 2018"
29667094,Worldwide Experience with Erosion of the Magnetic Sphincter Augmentation Device.,"Apr, 2018"
29520389,An evaluation of the Manufacturer And User Facility Device Experience database that inspired the United States Food and Drug Administration's Reclassification of transvaginal mesh.,"Mar, 2018"
29463158,"The nature, magnitude, and reporting compliance of device-related events for intravenous patient-controlled analgesia in the FDA Manufacturer and User Facility Device Experience (MAUDE) database.","Feb, 2018"
29411167,Investigation of adverse events associated with an off-label use of arterial stents and CE-marked iliac vein stents in the iliac vein: insights into developing a better iliac vein stent.,"Feb, 2018"
29345415,Investigating Complications Associated With Occipital Nerve Stimulation: A MAUDE Study.,"Jan, 2018"
29295261,Identifying and Synchronizing Health Information Technology (HIT) Events from FDA Medical Device Reports.,"Jan, 2018"
29365055,"Comments on ""Long-Term Safety of Textured and Smooth Breast Implants"" and a Plea to Abandon the Use of the MAUDE Database.","Jan, 2018"
29365039,"Response to ""Comments on 'Long-Term Safety of Textured and Smooth Breast Implants' and a Plea to Abandon the Use of the MAUDE Database"".","Jan, 2018"
29346485,Adverse Events in Facial Implant Surgery and Associated Malpractice Litigation.,"Jan, 2018"
29270603,A Cross-sectional Analysis of Adverse Events and Litigation for Injectable Fillers.,"Dec, 2017"
29232174,Analysis of Reported Balloon Malfunctions and Proposed Rescue Strategy for Malfunction during Airway Dilation.,"Dec, 2017"
29084449,"Editorial Comment on: Device-Related Adverse Events During Percutaneous Nephrolithotomy: Review of the Manufacturer and User Facility Device Experience Database by Patel et al. (From: Patel NH, Schulman AA, Bloom JB, et al. J Endourol 2017;31:1007-1011).","Nov, 2017"
29103448,Adverse clinical events reported during Invisalign treatment: Analysis of the MAUDE database.,"Nov, 2017"
28988455,Safety profiles of percutaneous left atrial appendage closure devices: An analysis of the Food and Drug Administration Manufacturer and User Facility Device Experience (MAUDE) database from 2009 to 2016.,"Oct, 2017"
29065635,Surgeon Training in Telerobotic Surgery via a Hardware-in-the-Loop Simulator.,"Oct, 2017"
28830243,Device-Related Adverse Events During Percutaneous Nephrolithotomy: Review of the Manufacturer and User Facility Device Experience Database.,"Aug, 2017"
28802790,Vascular air embolism: A silent hazard to patient safety.,"Aug, 2017"
28679898,Pharmacovigilance Mobile Tool Design in the Field of Arhroplasty.,"Jul, 2017"
28731889,Stent thrombosis with bioabsorbable polymer drug-eluting stents: insights from the Food and Drug Administration database.,"Jul, 2017"
28654305,"Commentary Regarding Shapiro, ""Nonadjunctive Use of Continuous Glucose Monitors for Insulin Dosing: Is It Safe?"".","Jun, 2017"
28540756,Nonadjunctive Use of Continuous Glucose Monitors for Insulin Dosing: Is It Safe?,"May, 2017"
28533700,Risk management and regulations for lower limb medical exoskeletons: a review.,"May, 2017"
28413855,Frequency of pacemaker malfunction associated with monopolar electrosurgery during pulse generator replacement or upgrade surgery.,"Apr, 2017"
28430558,Lower Esophageal Sphincter Augmentation for Gastroesophageal Reflux Disease: The Safety of a Modern Implant.,"Apr, 2017"
28420260,The Safety of Nonadjunctive Use of Continuous Glucose Monitors for Insulin Dosing: Still Not Resolved.,"Apr, 2017"
28416466,Risk of atrioesophageal fistula formation with contact force-sensing catheters.,"Apr, 2017"
28249869,Update on Effectiveness of an Electromagnetic Feeding Tube-Placement Device in Detecting Respiratory Placements.,"Mar, 2017"
28249868,Cortrak-Assisted Feeding Tube Insertion: A Comprehensive Review of Adverse Events in the MAUDE Database.,"Mar, 2017"
37592616,Lessons Learned from the MAUDE Database on Transvaginal Synthetic Mesh and Sling Reports.,"Mar, 2017"
28157770,Global Adverse Event Reports of Breast Implant-Associated ALCL: An International Review of 40 Government Authority Databases.,"Feb, 2017"
28233636,Adverse Event Reports Associated with Vaginal Mesh: An Interrupted Time Series Analysis.,"Feb, 2017"
29792661,[Medical Device Adverse Events Primary Analysis on Esophageal Stents].,"Jan, 2017"
27979446,"Adverse Events Involving Radiation Oncology Medical Devices: Comprehensive Analysis of US Food and Drug Administration Data, 1991 to 2015.","Dec, 2016"
27913723,The Utility of the MAUDE Database for Osseointegrated Auditory Implants.,"Dec, 2016"
27806637,"Development of a Classification Scheme for Examining Adverse Events Associated with Medical Devices, Specifically the DaVinci Surgical System as Reported in the FDA MAUDE Database.","Nov, 2016"
27829472,Post-market surveillance to detect adverse events associated with Melody® valve implantation.,"Nov, 2016"
27705733,A standardized surgical technique for removal of the Interstim tined lead.,"Oct, 2016"
27703419,Spontaneous Fractures of a Modern Modular Uncemented Femoral Stem.,"Oct, 2016"
27769853,Atrioesophageal fistula formation with cryoballoon ablation is most commonly related to the left inferior pulmonary vein.,"Oct, 2016"
27499060,Review: Stent fracture in the drug-eluting stent era.,"Aug, 2016"
27247483,Creation of an iOS and Android Mobile Application for Inferior Vena Cava (IVC) Filters: A Powerful Tool to Optimize Care of Patients with IVC Filters.,"Jun, 2016"
27247477,Evidence-Based Evaluation of Inferior Vena Cava Filter Complications Based on Filter Type.,"Jun, 2016"
27097160,Adverse Events in Robotic Surgery: A Retrospective Study of 14 Years of FDA Data.,"Apr, 2016"
27027151,Insulin Pump Malfunction During Hospitalization: Two Case Reports.,"Mar, 2016"
26939860,Morbidity and Mortality Associated With Robotic Head and Neck Surgery: An Inquiry of the Food and Drug Administration Manufacturer and User Facility Device Experience Database.,"Mar, 2016"
26888235,Analysis of adverse events with use of orthodontic sequential aligners as reported in the manufacturer and user facility device experience database.,"Feb, 2016"
26888238,Adverse events associated with ultrasonic scalers: A manufacturer and user facility device experience database analysis.,"Feb, 2016"
26850819,Adverse events of gastric electrical stimulators recorded in the Manufacturer and User Device Experience (MAUDE) Registry.,"Feb, 2016"
26814222,Ventilator-Related Adverse Events: A Taxonomy and Findings From 3 Incident Reporting Systems.,"Jan, 2016"
26795586,An analytical approach to identifying potential use-related issues concerning a medical device under development.,"Jan, 2016"
26777456,Iatrogenic surgical microscope skin burns: A systematic review of the literature and case report.,"Jan, 2016"
26660689,New Minimum Relative Humidity Requirements Are Expected to Lead to More Medical Device Failures.,"Dec, 2015"
26507706,Ureteral Avulsion Associated with Ureteroscopy: Insights from the MAUDE Database.,"Oct, 2015"
26467552,Structural Mechanics Predictions Relating to Clinical Coronary Stent Fracture in a 5 Year Period in FDA MAUDE Database.,"Oct, 2015"
26313491,Enmeshed in Controversy: Use of Vaginal Mesh in the Current Medicolegal Environment.,"Aug, 2015"
26301030,Occurrence and Management Strategies for Catheter Entrapment with Onyx Liquid Embolization.,"Aug, 2015"
26165944,User-reported abrasion-related lead failure is more common with durata compared to other implantable cardiac defibrillator leads.,"Jul, 2015"
26095572,Surgical Energy-Based Device Injuries and Fatalities Reported to the Food and Drug Administration.,"Jun, 2015"
25987522,Complications of Electromechanical Morcellation Reported in the Manufacturer and User Facility Device Experience (MAUDE) Database.,"May, 2015"
25967852,Efficacy and safety of uterine manipulators in laparoscopic surgery: a review.,"May, 2015"
25938303,Safety and Procedural Success of Left Atrial Appendage Exclusion With the Lariat Device: A Systematic Review of Published Reports and Analytic Review of the FDA MAUDE Database.,"May, 2015"
25923678,Inadvertent Detachment of a Retrievable Intracranial Stent: Review of Manufacturer and User Facility Device Experience.,"Apr, 2015"
25763759,Locked Deflection During Flexible Ureteroscopy: Incidence and Elucidation of the Mechanism of an Underreported Complication.,"Mar, 2015"
25784563,"Insulin pump risks and benefits: a clinical appraisal of pump safety standards, adverse event reporting and research needs. A joint statement of the European Association for the Study of Diabetes and the American Diabetes Association Diabetes Technology Working Group.","Mar, 2015"
25776138,"Insulin pump risks and benefits: a clinical appraisal of pump safety standards, adverse event reporting, and research needs: a joint statement of the European Association for the Study of Diabetes and the American Diabetes Association Diabetes Technology Working Group.","Mar, 2015"
25637208,The dangers of dental devices as reported in the Food and Drug Administration Manufacturer and User Facility Device Experience Database.,"Feb, 2015"
25655709,"FDA MAUDE data on complications with lasers, light sources, and energy-based devices.","Feb, 2015"
25673309,Morbidity and mortality after thermal venous ablations.,"Feb, 2015"
25540680,A use case study on late stent thrombosis for ontology-based temporal reasoning and analysis.,"Dec, 2014"
25301369,Pseudoaneurysm formation after medtronic freestyle porcine aortic bioprosthesis implantation: a word of caution.,"Oct, 2014"
25324917,"Risk of transmission of carbapenem-resistant Enterobacteriaceae and related ""superbugs"" during gastrointestinal endoscopy.","Oct, 2014"
25128851,Hysteroscopic morcellation: review of the manufacturer and user facility device experience (MAUDE) database.,"Aug, 2014"
25086256,Novel mechanism of premature battery failure due to lithium cluster formation in implantable cardioverter-defibrillators.,"Aug, 2014"
24928649,Comparison of complication rates associated with permanent and retrievable inferior vena cava filters: a review of the MAUDE database.,"Jun, 2014"
24923962,Over-the-counter (OTC) bruxism splints available on the Internet.,"Jun, 2014"
24954605,Nickel hypersensitivity in patients with inferior vena cava filters: case report and literature and MAUDE database review.,"Jun, 2014"
24826394,Complications in cosmetic laser surgery: a review of 494 Food and Drug Administration Manufacturer and User Facility Device Experience Reports.,"May, 2014"
24786813,Effectiveness of an electromagnetic feeding tube placement device in detecting inadvertent respiratory placement.,"May, 2014"
24635137,Disruption of silicone valve housing in a Codman Hakim Precision valve with integrated Siphonguard.,"Mar, 2014"
24486535,MAUDE: analysis of robotic-assisted gynecologic surgery.,"Feb, 2014"
24519902,"Stent fracture: Insights on mechanisms, treatments, and outcomes from the food and drug administration manufacturer and user facility device experience database.","Feb, 2014"
24462590,Electromechanical morcellators in minimally invasive gynecologic surgery: an update.,"Jan, 2014"
24439579,"Increased risk of cardiovascular perforation during ECMO with a bicaval, wire-reinforced cannula.","Jan, 2014"
24333632,Laparoscopic morcellator-related complications.,"Dec, 2013"
24342704,Postmarketing safety of biologics and biological devices.,"Dec, 2013"
24183273,Analysis of adverse events with Essure hysteroscopic sterilization reported to the Manufacturer and User Facility Device Experience database.,"Nov, 2013"
24270729,Auricular burns associated with operating microscope use during otologic surgery.,"Nov, 2013"
24126261,Hysteroscopic sterilization: 10-year retrospective analysis of worldwide pregnancy reports.,"Oct, 2013"
24074324,Adverse events resulting from lasers used in urology.,"Oct, 2013"
24069035,The role of vaginal mesh procedures in pelvic organ prolapse surgery in view of complication risk.,"Sep, 2013"
23920872,Detecting software failures in the MAUDE database: a preliminary analysis.,"Aug, 2013"
23871705,Early fatigue fractures in the IS-1 connector leg of a small-diameter ICD lead: value of returned product analysis for improving device safety.,"Jul, 2013"
23796092,Distribution of reported StarClose SE vascular closure device complications in the manufacturer and user facility device experience database.,"Jun, 2013"
23761875,Reporting the impact of inferior vena cava perforation by filters.,"Jun, 2013"
23666777,Using statistical text classification to identify health information technology incidents.,"May, 2013"
23586003,Technical accuracy of optical and the electromagnetic tracking systems.,"Apr, 2013"
23303172,Trends in cochlear implant complications: implications for improving long-term outcomes.,"Jan, 2013"
23253551,"Comments on ""Longitudinal stent deformation: insights on mechanisms, treatments and outcomes from the FDA Manufacturer and User Facility Device Experience database"" by Mamas et al.","Dec, 2012"
23242487,Instrument Failures for the da Vinci Surgical System: a Food and Drug Administration MAUDE Database Study.,"Dec, 2012"
23132207,Adverse events after recombinant human BMP2 in nonspinal orthopaedic procedures.,"Nov, 2012"
23074426,Multiple intravenous infusions phase 1b: practice and training scan.,"Oct, 2012"
23063031,Pediatric use of insulin pump technology: a retrospective study of adverse events in children ages 1-12 years.,"Oct, 2012"
23098616,Recombinant human bone morphogenetic protein-2: adverse events reported to the Manufacturer and User Facility Device Experience database.,"Oct, 2012"
22996104,Minimally invasive endometrial ablation device complications and use outside of the manufacturers' instructions.,"Sep, 2012"
22915789,Failure of a novel silicone-polyurethane copolymer (Optim™) to prevent implantable cardioverter-defibrillator lead insulation abrasions.,"Aug, 2012"
22919127,Mesh complications in female pelvic floor reconstructive surgery and their management: A systematic review.,"Aug, 2012"
